#Celsius Ohms
-40 239828
-39 226103
-38 213243
-37 201188
-36 189885
-35 179282
-34 169331
-33 159991
-32 151219
-31 142978
-30 135233
-29 127952
-28 121104
-27 114661
-26 108598
-25 102889
-24 97513
-23 92448
-22 87675
-21 83174
-20 78930
-19 74926
-18 71148
-17 67581
-16 64212
-15 61031
-14 58024
-13 55182
-12 52495
-11 49954
-10 47549
-9 45274
-8 43119
-7 41079
-6 39147
-5 37316
-4 35580
-3 33935
-2 32375
-1 30895
0 29490
1 28157
2 26891
3 25689
4 24547
5 23462
6 22431
7 21450
8 20518
9 19531
10 18787
11 17983
12 17219
13 16490
14 15797
15 15136
16 14506
17 13906
18 13334
19 12788
20 12268
21 11771
22 11297
23 10845
24 10413
25 10000
26 9606
27 9229
28 8869
29 8525
30 8196
31 7882
32 7581
33 7293
34 7018
35 6754
36 6501
37 6260
38 6028
39 5806
40 5594
41 5390
42 5195
43 5007
44 4828
45 4656
46 4490
47 4332
48 4180
49 4034
50 3893
51 3759
52 3629
53 3505
54 3386
55 3271
56 3160
57 3054
58 2952
59 2854
60 2760
61 2669
62 2582
63 2498
64 2417
65 2339
66 2264
67 2191
68 2122
69 2055
70 1990
71 1928
72 1868
73 1810
74 1754
75 1700
76 1648
77 1598
78 1550
79 1503
80 1458
